mode,task_id,source_inner_id,target_inner_id,target_sample_id,old_state,new_state,rect_count,tag_count,status,detail
APPLY,167,68,69,15105,DONE,DONE,15,6,UPDATED,
APPLY,167,68,70,15106,DONE,DONE,17,6,UPDATED,
APPLY,167,68,71,15107,DONE,DONE,19,6,UPDATED,
APPLY,167,68,72,15108,DONE,DONE,18,6,UPDATED,
APPLY,167,68,73,15109,DONE,DONE,16,6,UPDATED,
APPLY,167,68,74,15110,DONE,DONE,19,6,UPDATED,
APPLY,167,68,75,15111,DONE,DONE,20,6,UPDATED,
APPLY,167,68,76,15112,DONE,DONE,16,6,UPDATED,
APPLY,167,68,77,15113,DONE,DONE,17,6,UPDATED,
APPLY,167,68,78,15114,DONE,DONE,17,6,UPDATED,
APPLY,167,68,79,15115,DONE,DONE,19,6,UPDATED,
APPLY,167,68,80,15116,DONE,DONE,19,6,UPDATED,
APPLY,167,68,81,15117,DONE,DONE,18,6,UPDATED,
APPLY,167,68,82,15118,DONE,DONE,20,6,UPDATED,
APPLY,167,68,83,15119,DONE,DONE,18,6,UPDATED,
APPLY,167,68,84,15120,DONE,DONE,18,6,UPDATED,
APPLY,167,68,85,15121,DONE,DONE,20,6,UPDATED,
APPLY,167,68,86,15122,DONE,DONE,20,6,UPDATED,
APPLY,167,68,87,15123,DONE,DONE,19,6,UPDATED,
APPLY,167,68,88,15124,DONE,DONE,19,6,UPDATED,
APPLY,167,68,89,15125,DONE,DONE,18,6,UPDATED,
APPLY,167,68,90,15126,DONE,DONE,18,6,UPDATED,
APPLY,167,68,91,15127,DONE,DONE,18,6,UPDATED,
APPLY,167,68,92,15128,DONE,DONE,17,6,UPDATED,
APPLY,167,68,93,15129,DONE,DONE,17,6,UPDATED,
APPLY,167,68,94,15130,DONE,DONE,18,6,UPDATED,
APPLY,167,68,95,15131,DONE,DONE,16,6,UPDATED,
APPLY,167,68,96,15132,DONE,DONE,18,6,UPDATED,
APPLY,167,68,97,15133,DONE,DONE,18,6,UPDATED,
APPLY,167,68,98,15134,DONE,DONE,17,6,UPDATED,
APPLY,167,68,99,15135,DONE,DONE,18,6,UPDATED,
APPLY,167,68,100,15136,DONE,DONE,18,6,UPDATED,
APPLY,167,68,101,15137,DONE,DONE,20,6,UPDATED,
APPLY,167,68,102,15138,DONE,DONE,18,6,UPDATED,
APPLY,167,68,103,15139,DONE,DONE,19,6,UPDATED,
APPLY,167,68,104,15140,DONE,DONE,14,6,UPDATED,
APPLY,167,68,105,15141,DONE,DONE,18,6,UPDATED,
APPLY,167,68,106,15142,DONE,DONE,17,6,UPDATED,
APPLY,167,68,107,15143,DONE,DONE,16,6,UPDATED,
APPLY,167,68,108,15144,DONE,DONE,15,6,UPDATED,
APPLY,167,68,109,15145,DONE,DONE,17,6,UPDATED,
APPLY,167,68,110,15146,DONE,DONE,17,6,UPDATED,
APPLY,167,68,111,15147,DONE,DONE,10,6,UPDATED,
APPLY,167,68,112,15148,DONE,DONE,15,6,UPDATED,
APPLY,167,68,113,15149,DONE,DONE,15,6,UPDATED,
APPLY,167,68,114,15150,DONE,DONE,19,6,UPDATED,
APPLY,167,68,115,15151,DONE,DONE,19,6,UPDATED,
APPLY,167,68,116,15152,DONE,DONE,17,6,UPDATED,
APPLY,167,68,117,15153,DONE,DONE,14,6,UPDATED,
APPLY,167,68,118,15154,DONE,DONE,20,6,UPDATED,
APPLY,167,68,119,15155,DONE,DONE,15,6,UPDATED,
APPLY,167,68,120,15156,DONE,DONE,15,6,UPDATED,
APPLY,167,68,121,15157,DONE,DONE,18,6,UPDATED,
APPLY,167,68,122,15158,DONE,DONE,17,6,UPDATED,
APPLY,167,68,123,15159,DONE,DONE,14,6,UPDATED,
APPLY,167,68,124,15160,DONE,DONE,18,6,UPDATED,
APPLY,167,68,125,15161,DONE,DONE,16,6,UPDATED,
APPLY,167,68,126,15162,DONE,DONE,13,6,UPDATED,
APPLY,167,68,127,15163,DONE,DONE,14,6,UPDATED,
APPLY,167,68,128,15164,DONE,DONE,17,6,UPDATED,
APPLY,167,68,129,15165,DONE,DONE,15,6,UPDATED,
